iter	Passed	Remaining
399	9351	14027
400	9370	13997
401	9388	13965
402	9405	13933
403	9423	13901
404	9441	13870
405	9458	13838
406	9476	13807
407	9493	13774
408	9511	13744
409	9529	13713
410	9547	13682
411	9566	13652
412	9583	13621
413	9601	13590
414	9618	13558
415	9635	13527
416	9652	13495
417	9670	13464
418	9690	13436
419	9706	13404
420	9724	13374
421	9741	13343
422	9760	13313
423	9778	13283
424	9795	13252
425	9812	13221
426	9829	13190
427	9846	13159
428	9864	13129
429	9881	13098
430	9900	13069
431	9918	13040
432	9934	13009
433	9952	12979
434	9969	12948
435	9986	12918
436	10003	12888
437	10022	12860
438	10039	12829
439	10057	12800
440	10073	12769
441	10091	12739
442	10109	12711
443	10126	12681
444	10143	12650
445	10163	12624
446	10180	12594
447	10199	12567
448	10216	12537
449	10235	12509
450	10252	12480
451	10271	12453
452	10290	12425
453	10307	12395
454	10325	12368
455	10343	12339
456	10360	12310
457	10378	12281
458	10396	12253
459	10413	12224
460	10432	12197
461	10450	12169
462	10468	12141
463	10484	12111
464	10502	12083
465	10520	12055
466	10537	12026
467	10556	12000
468	10574	11972
469	10591	11943
470	10608	11915
471	10627	11887
472	10643	11858
473	10661	11830
474	10679	11803
475	10696	11775
476	10714	11747
477	10730	11718
478	10748	11690
479	10765	11662
480	10782	11634
481	10801	11607
482	10818	11580
483	10836	11553
484	10854	11525
485	10870	11497
486	10888	11470
487	10907	11443
488	10924	11416
489	10942	11389
490	10960	11362
491	10977	11334
492	10996	11308
493	11014	11281
494	11032	11255
495	11049	11227
496	11067	11201
497	11085	11174
498	11102	11147
499	11120	11120
500	11137	11092
501	11155	11066
502	11173	11040
503	11189	11012
504	11207	10985
505	11225	10958
506	11242	10932
507	11261	10906
508	11280	10881
509	11299	10856
510	11316	10829
511	11333	10802
512	11352	10777
513	11370	10751
514	11387	10724
515	11402	10695
516	11420	10669
517	11436	10641
518	11454	10615
519	11471	10588
520	11489	10562
521	11505	10536
522	11522	10509
523	11539	10482
524	11556	10456
525	11575	10430
526	11592	10404
527	11610	10379
528	11626	10352
529	11643	10325
530	11660	10298
531	11676	10271
532	11691	10244
533	11710	10219
534	11728	10193
535	11745	10167
536	11761	10141
537	11779	10115
538	11797	10090
539	11815	10065
540	11833	10039
541	11850	10013
542	11868	9988
543	11886	9963
544	11903	9937
545	11922	9913
546	11939	9887
547	11957	9862
548	11973	9836
549	11990	9810
550	12007	9784
551	12024	9758
552	12042	9733
553	12058	9707
554	12075	9682
555	12091	9656
556	12108	9630
557	12124	9604
558	12143	9580
559	12161	9555
560	12178	9530
561	12196	9505
562	12214	9480
563	12232	9455
564	12249	9430
565	12267	9406
566	12286	9382
567	12303	9357
568	12321	9333
569	12339	9308
570	12355	9283
571	12373	9258
572	12389	9232
573	12406	9207
574	12423	9182
575	12441	9157
576	12458	9133
577	12474	9107
578	12493	9084
579	12510	9059
580	12532	9037
581	12549	9012
582	12566	8988
583	12583	8963
584	12601	8939
585	12618	8915
586	12635	8890
587	12653	8866
588	12671	8842
589	12689	8818
590	12707	8794
591	12724	8769
592	12743	8746
593	12760	8721
594	12778	8697
595	12796	8673
596	12813	8649
597	12831	8625
598	12849	8601
599	12867	8578
600	12885	8554
601	12903	8530
602	12920	8506
603	12938	8482
604	12955	8458
605	12972	8434
606	12989	8410
607	13007	8386
608	13025	8363
609	13042	8338
610	13059	8314
611	13077	8290
612	13095	8267
613	13113	8244
614	13131	8220
615	13149	8196
616	13168	8174
617	13184	8149
618	13202	8126
619	13219	8102
620	13237	8078
621	13255	8055
622	13273	8032
623	13293	8009
624	13310	7986
625	13328	7963
626	13347	7940
627	13364	7916
628	13382	7893
629	13400	7869
630	13418	7846
631	13436	7823
632	13452	7799
633	13471	7776
634	13489	7753
635	13509	7731
636	13527	7708
637	13545	7685
638	13564	7663
639	13583	7640
640	13603	7618
641	13622	7596
642	13638	7571
643	13655	7548
644	13673	7525
645	13691	7502
646	13709	7479
647	13726	7456
648	13743	7433
649	13761	7409
650	13779	7387
651	13797	7364
652	13813	7340
653	13831	7317
654	13849	7294
655	13867	7272
656	13888	7250
657	13907	7228
658	13925	7205
659	13942	7182
660	13959	7159
661	13976	7135
662	13993	7112
663	14009	7088
664	14029	7067
665	14045	7043
666	14062	7020
667	14079	6997
668	14096	6974
669	14113	6951
670	14130	6928
671	14147	6905
672	14164	6882
673	14181	6859
674	14198	6836
675	14216	6813
676	14233	6790
677	14251	6768
678	14269	6746
679	14287	6723
680	14306	6701
681	14322	6678
682	14339	6655
683	14356	6632
684	14373	6609
685	14391	6587
686	14407	6564
687	14424	6541
688	14443	6519
689	14459	6496
690	14476	6473
691	14494	6451
692	14513	6429
693	14531	6407
694	14548	6384
695	14566	6362
696	14583	6339
697	14601	6317
698	14619	6295
699	14636	6272
700	14654	6250
701	14671	6228
702	14689	6206
703	14710	6185
704	14728	6163
705	14747	6141
706	14765	6119
707	14781	6096
708	14800	6074
709	14817	6052
710	14836	6030
711	14854	6008
712	14872	5986
713	14890	5964
714	14907	5942
715	14925	5920
716	14942	5897
717	14960	5875
718	14978	5853
719	14996	5831
720	15014	5809
721	15031	5787
722	15049	5765
723	15066	5743
724	15084	5721
725	15101	5699
726	15118	5677
727	15136	5655
728	15154	5633
729	15172	5611
730	15190	5589
731	15207	5567
732	15225	5546
733	15243	5524
734	15261	5502
735	15278	5480
736	15296	5458
737	15315	5437
738	15333	5415
739	15351	5393
740	15370	5372
741	15388	5350
742	15405	5328
743	15423	5306
744	15441	5285
745	15460	5263
746	15478	5242
747	15496	5220
748	15514	5199
749	15532	5177
750	15551	5156
751	15569	5134
752	15588	5113
753	15606	5091
754	15623	5069
755	15641	5048
756	15657	5026
757	15675	5004
758	15692	4982
759	15711	4961
760	15728	4939
761	15747	4918
762	15764	4896
763	15783	4875
764	15800	4853
765	15820	4832
766	15838	4811
767	15856	4789
768	15874	4768
769	15893	4747
770	15911	4725
771	15929	4704
772	15946	4682
773	15964	4661
774	15982	4640
775	16001	4619
776	16018	4597
777	16038	4576
778	16057	4555
779	16074	4533
780	16092	4512
781	16110	4491
782	16128	4469
783	16146	4448
784	16164	4427
785	16182	4406
786	16201	4384
787	16218	4363
788	16236	4342
789	16254	4320
790	16273	4299
791	16290	4278
792	16308	4256
793	16327	4235
794	16344	4214
795	16361	4193
796	16378	4171
797	16396	4150
798	16414	4129
799	16432	4108
800	16450	4086
801	16468	4065
802	16485	4044
803	16504	4023
804	16521	4001
805	16539	3980
806	16557	3959
807	16575	3938
808	16593	3917
809	16617	3897
810	16635	3876
811	16651	3855
812	16668	3834
813	16686	3812
814	16704	3791
815	16721	3770
816	16737	3749
817	16756	3728
818	16773	3706
819	16791	3685
820	16808	3664
821	16827	3643
822	16844	3622
823	16862	3601
824	16880	3580
825	16898	3559
826	16916	3538
827	16933	3517
828	16951	3496
829	16968	3475
830	16986	3454
831	17005	3433
832	17023	3412
833	17040	3391
834	17059	3371
835	17076	3349
836	17093	3328
837	17115	3308
838	17133	3287
839	17151	3266
840	17169	3246
841	17187	3225
842	17206	3204
843	17224	3183
844	17241	3162
845	17258	3141
846	17276	3120
847	17294	3099
848	17312	3079
849	17329	3058
850	17349	3037
851	17366	3016
852	17384	2995
853	17402	2975
854	17419	2954
855	17437	2933
856	17454	2912
857	17473	2891
858	17491	2871
859	17509	2850
860	17526	2829
861	17546	2809
862	17563	2788
863	17581	2767
864	17599	2746
865	17617	2726
866	17634	2705
867	17651	2684
868	17669	2663
869	17687	2642
870	17703	2622
871	17721	2601
872	17739	2580
873	17757	2560
874	17775	2539
875	17792	2518
876	17810	2497
877	17828	2477
878	17846	2456
879	17863	2435
880	17881	2415
881	17899	2394
882	17917	2374
883	17935	2353
884	17952	2332
885	17969	2312
886	17987	2291
887	18004	2270
888	18022	2250
889	18039	2229
890	18058	2209
891	18074	2188
892	18092	2167
893	18111	2147
894	18128	2126
895	18146	2106
896	18162	2085
897	18180	2065
898	18198	2044
899	18216	2024
900	18234	2003
901	18253	1983
902	18271	1962
903	18289	1942
904	18307	1921
905	18324	1901
906	18342	1880
907	18361	1860
908	18379	1839
909	18397	1819
910	18414	1799
911	18433	1778
912	18452	1758
913	18475	1738
914	18494	1718
915	18513	1697
916	18535	1677
917	18557	1657
918	18579	1637
919	18603	1617
920	18624	1597
921	18648	1577
922	18670	1557
923	18694	1537
924	18716	1517
925	18737	1497
926	18758	1477
927	18779	1457
928	18798	1436
929	18818	1416
930	18843	1396
931	18862	1376
932	18881	1355
933	18898	1335
934	18918	1315
935	18936	1294
936	18953	1274
937	18972	1254
938	18990	1233
939	19009	1213
940	19026	1192
941	19050	1172
942	19068	1152
943	19086	1132
944	19104	1111
945	19125	1091
946	19142	1071
947	19160	1051
948	19176	1030
949	19194	1010
950	19212	989
951	19230	969
952	19247	949
953	19265	928
954	19283	908
955	19301	888
956	19318	868
957	19337	847
958	19355	827
959	19374	807
960	19392	786
961	19410	766
962	19428	746
963	19446	726
964	19464	705
965	19482	685
966	19499	665
967	19517	645
968	19536	625
969	19555	604
970	19573	584
971	19591	564
972	19609	544
973	19627	523
974	19646	503
975	19665	483
976	19682	463
977	19700	443
978	19717	422
979	19735	402
980	19753	382
981	19771	362
982	19789	342
983	19806	322
984	19820	301
985	19834	281
986	19847	261
987	19859	241
988	19873	221
989	19887	200
990	19900	180
991	19914	160
992	19927	140
993	19939	120
994	19951	100
995	19964	80
996	19977	60
997	19991	40
998	20003	20
999	20016	0
	21976	266
988	21994	244
989	22012	222
990	22029	200
991	22048	177
992	22066	155
993	22084	133
994	22102	111
995	22119	88
996	22137	66
997	22155	44
998	22172	22
999	22190	0
568
962	90405	3473
963	90479	3378
964	90540	3283
965	90600	3188
966	90663	3094
967	90734	2999
968	90808	2905
969	90878	2810
970	90955	2716
971	91027	2622
972	91086	2527
973	91131	2432
974	91177	2337
975	91229	2243
976	91268	2148
977	91314	2054
978	91356	1959
979	91401	1865
980	91443	1771
981	91485	1676
982	91526	1582
983	91567	1488
984	91599	1394
985	91637	1301
986	91671	1207
987	91707	1113
988	91750	1020
989	91785	927
990	91817	833
991	91846	740
992	91874	647
993	91903	554
994	91931	461
995	91962	369
996	91989	276
997	92020	184
998	92049	92
999	92080	0
