iter	Logloss
0	0.573187424
1	0.4871136833
2	0.427910768
3	0.3916810601
4	0.3640795075
5	0.3373201615
6	0.3174598793
7	0.3047801562
8	0.2916696615
9	0.2819836852
10	0.2747902221
11	0.2681679329
12	0.2620366348
13	0.2555961711
14	0.2510182375
15	0.2460726572
16	0.2422700206
17	0.2383846484
18	0.2351411419
19	0.2324042439
20	0.2287522492
21	0.225782341
22	0.2236850265
23	0.221674806
24	0.2194241054
25	0.2172370806
26	0.2153765878
27	0.2137843578
28	0.2122762253
29	0.2108349413
30	0.2089705432
31	0.2076717998
32	0.205568291
33	0.2040663733
34	0.2028321879
35	0.2011688094
36	0.1996720514
37	0.198315653
38	0.1972589224
39	0.1951852856
40	0.1929577958
41	0.1921841422
42	0.1914271953
43	0.1904918189
44	0.1894587985
45	0.1873537118
46	0.1869537315
47	0.1862916353
48	0.1857097562
49	0.1844007489
50	0.1838616045
51	0.183234807
52	0.1821581633
53	0.1812821172
54	0.1803137155
55	0.1791153929
56	0.1781438155
57	0.1770163221
58	0.1759899032
59	0.1752521584
60	0.1733557831
61	0.1724713249
62	0.1719937509
63	0.1692152933
64	0.1682149954
65	0.1671699824
66	0.1653851563
67	0.1648672913
68	0.1635753201
69	0.1627710358
70	0.1621680974
71	0.1614178649
72	0.1602444294
73	0.1597368131
74	0.158568058
75	0.1583574286
76	0.1576473029
77	0.1566905255
78	0.156048129
79	0.1551641685
80	0.1547829068
81	0.1537173113
82	0.1526003395
83	0.1519078739
84	0.1514285387
85	0.1503405615
86	0.1495942735
87	0.1492103011
88	0.1479109425
89	0.1475503041
90	0.1469483641
91	0.1462642195
92	0.1457306643
93	0.1449878985
94	0.1445814711
95	0.1436827749
96	0.1434900718
97	0.1429117106
98	0.1421675961
99	0.1416592459
100	0.1411898833
101	0.1405217977
102	0.1399994506
103	0.1391951911
104	0.1383463869
105	0.1379102689
106	0.1373656554
107	0.1365321573
108	0.1350580974
109	0.1347031526
110	0.1341948523
111	0.1334903032
112	0.1324464676
113	0.1317116395
114	0.1302173499
115	0.129647677
116	0.1282607901
117	0.1276693448
118	0.126875925
